query_id,query,target_job,required_skills,missing_skills,region_code,department_code,positive_uid,positive_text,negative_uid,negative_text,negative_type,label_source,label_confidence,group_id,certification_code,certification_label,referential_type,level,nsf,organization,siret,region,department,reviewer_label,reviewer_comment,validated_at
edecdff5657bd097,MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT) | Gestion de projet | Concevoir et créer des projets HT. | Contrôler les organisations du secteur HT. | Développer les organisations du secteur HT. | Exploiter des organisations HT.,MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT),"['Gestion de projet', 'Concevoir et créer des projets HT.', 'Contrôler les organisations du secteur HT.', 'Développer les organisations du secteur HT.', 'Exploiter des organisations HT.', 'master', 'organisation', 'stratégie']","['Concevoir et créer des projets HT.', 'Contrôler les organisations du secteur HT.', 'Développer les organisations du secteur HT.', 'Exploiter des organisations HT.', 'stratégie']",,,fb2c01df2892a8ce19524a1f,"Titre: Master 2 ECONOMIE DES ORGANISATIONS parcours ""Stratégies Économiques du Sport et du Tourisme"" (SEST) – EAD Secteur: Management & Gestion Compétences: Géoéconomie et stratégies internationales du sport et du tourisme UE2 Économie et gestion des organisations sportives | Gestion des clubs professionnels et amateurs UE3 Analyse de projet | Analyse de projet appliquée au sport et au tourisme | Développement territorial touristique | master | economie | organisations | management | gestion | organisation Certification: RNCP RNCP38296 Niveau: BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité: À distance Durée: 976h Prix: 3600 Codes ROME: M1302, M1402, M1403, M1802 Tags: master | economie | organisations | management | gestion | organisation",16ca251a8bf985aa82182657,"Titre: Certificat d'Aptitude aux fonctions de professeur de danse - Classique Secteur: Enseignement & Formation Compétences: Formation en enseignement | certificat | aptitude | fonctions | pédagogie | formation | enseignement Certification: RNCP RNCP40004 Niveau: BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité: Présentiel Prix: 8505 Codes ROME: K2105, L1201 Tags: certificat | aptitude | fonctions | pédagogie | formation | enseignement",easy,heuristic,0.3763,c199ac385dd44416ad3b38d4ed6ffc8990f1bc5f,RNCP38296,RNCP RNCP38296,,"BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7)",,UNIVERSITE GRENOBLE ALPES,,,,,,
5103605369df5e96,MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT) | Gestion de projet | Concevoir et créer des projets HT. | Contrôler les organisations du secteur HT. | Développer les organisations du secteur HT. | Exploiter des organisations HT.,MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT),"['Gestion de projet', 'Concevoir et créer des projets HT.', 'Contrôler les organisations du secteur HT.', 'Développer les organisations du secteur HT.', 'Exploiter des organisations HT.', 'master', 'organisation', 'stratégie']","['Concevoir et créer des projets HT.', 'Contrôler les organisations du secteur HT.', 'Développer les organisations du secteur HT.', 'Exploiter des organisations HT.', 'stratégie']",,,fb2c01df2892a8ce19524a1f,"Titre: Master 2 ECONOMIE DES ORGANISATIONS parcours ""Stratégies Économiques du Sport et du Tourisme"" (SEST) – EAD Secteur: Management & Gestion Compétences: Géoéconomie et stratégies internationales du sport et du tourisme UE2 Économie et gestion des organisations sportives | Gestion des clubs professionnels et amateurs UE3 Analyse de projet | Analyse de projet appliquée au sport et au tourisme | Développement territorial touristique | master | economie | organisations | management | gestion | organisation Certification: RNCP RNCP38296 Niveau: BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité: À distance Durée: 976h Prix: 3600 Codes ROME: M1302, M1402, M1403, M1802 Tags: master | economie | organisations | management | gestion | organisation",07a8b03ecd707dabd3975f07,"Titre: Atout Senior | 50+ : Contrôleur de gestion Secteur: Comptabilité & Finance Compétences: Pilotage de l'organisation financière de l'entreprise | Élaborer/améliorer des processus de gestion | Définir sur Excel le cadre des reportings d'activité et concevoir des indicateurs de suivi | Concevoir des tableaux de bord et des indicateurs financiers Pilotage du processus budgétaire | atout | senior | contrôleur | comptabilité | gestion-financière | fiscalité Certification: RNCP RNCP35989 Niveau: BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité: Présentiel Durée: 1148h Prix: 5000 Codes ROME: M1204 Tags: atout | senior | contrôleur | comptabilité | gestion-financière | fiscalité",hard,heuristic,0.3345,c199ac385dd44416ad3b38d4ed6ffc8990f1bc5f,RNCP38296,RNCP RNCP38296,,"BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7)",,UNIVERSITE GRENOBLE ALPES,,,,,,
2af7fd85fa1395fc,MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT) | Gestion de projet | Concevoir et créer des projets HT. | Contrôler les organisations du secteur HT. | Développer les organisations du secteur HT. | Exploiter des organisations HT.,MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT),"['Gestion de projet', 'Concevoir et créer des projets HT.', 'Contrôler les organisations du secteur HT.', 'Développer les organisations du secteur HT.', 'Exploiter des organisations HT.', 'master', 'organisation', 'stratégie']","['Concevoir et créer des projets HT.', 'Contrôler les organisations du secteur HT.', 'Développer les organisations du secteur HT.', 'Exploiter des organisations HT.', 'stratégie']",,,fb2c01df2892a8ce19524a1f,"Titre: Master 2 ECONOMIE DES ORGANISATIONS parcours ""Stratégies Économiques du Sport et du Tourisme"" (SEST) – EAD Secteur: Management & Gestion Compétences: Géoéconomie et stratégies internationales du sport et du tourisme UE2 Économie et gestion des organisations sportives | Gestion des clubs professionnels et amateurs UE3 Analyse de projet | Analyse de projet appliquée au sport et au tourisme | Développement territorial touristique | master | economie | organisations | management | gestion | organisation Certification: RNCP RNCP38296 Niveau: BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité: À distance Durée: 976h Prix: 3600 Codes ROME: M1302, M1402, M1403, M1802 Tags: master | economie | organisations | management | gestion | organisation",8bd492915cba7c15a865f57d,"Titre: MASTER 2 Management et Stratégie en Hôtellerie-Tourisme en e-learning (MSHT) Secteur: Management & Gestion Compétences: Concevoir et créer des projets HT. | Exploiter des organisations HT. | Contrôler les organisations du secteur HT. | Développer les organisations du secteur HT. | Piloter son Projet Professionnel | master | management | stratégie | gestion | organisation | pilotage Certification: RNCP RNCP35909 Niveau: BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité: Présentiel Durée: 71h Prix: 6500 Codes ROME: H1102, H1206, M1302, M1402 Tags: master | management | stratégie | gestion | organisation | pilotage",territorial,heuristic,0.3554,c199ac385dd44416ad3b38d4ed6ffc8990f1bc5f,RNCP38296,RNCP RNCP38296,,"BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7)",,UNIVERSITE GRENOBLE ALPES,,,,,,
f3e81b6711cd7d6f,Certification professionnelle Conseiller en Emploi Accompagné (CEA) | Formation en ressources humaines | certification | conseiller | emploi | paie,Certification professionnelle Conseiller en Emploi Accompagné (CEA),"['Formation en ressources humaines', 'certification', 'conseiller', 'emploi', 'paie', 'recrutement', 'ressources-humaines']","['certification', 'conseiller', 'emploi']",,,c2dbf8c26169a6f77e8106e0,"Titre: Chargé(e) de missions RH Secteur: Ressources Humaines Compétences: Formation en ressources humaines | chargé | missions | ressources-humaines | recrutement | paie | droit-social Certification: RNCP RNCP40853 Niveau: BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité: À distance Durée: 1085h Prix: 2400 Codes ROME: M1402, M1502 Tags: chargé | missions | ressources-humaines | recrutement | paie | droit-social",23b55b091c3f8fa4d25c3e9b,"Titre: BTS BANQUE Secteur: Banque, Finance & Assurance Compétences: Formation en finances | banque | finance | assurance | immobilier | gestion-de-patrimoine Certification: RNCP RNCP38381 Niveau: BAC+2 : DEUG, BT, DUT... (NIVEAU 5) Modalité: Présentiel Durée: 2170h Prix: 12190 Codes ROME: C1206 Tags: banque | finance | assurance | immobilier | gestion-de-patrimoine",easy,heuristic,0.371,98611a79a308bce7589af65212f07c96a3d27517,RNCP40853,RNCP RNCP40853,,"BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6)",,ISCG,,,,,,
a6d0a8e135dc3c60,Certification professionnelle Conseiller en Emploi Accompagné (CEA) | Formation en ressources humaines | certification | conseiller | emploi | paie,Certification professionnelle Conseiller en Emploi Accompagné (CEA),"['Formation en ressources humaines', 'certification', 'conseiller', 'emploi', 'paie', 'recrutement', 'ressources-humaines']","['certification', 'conseiller', 'emploi']",,,c2dbf8c26169a6f77e8106e0,"Titre: Chargé(e) de missions RH Secteur: Ressources Humaines Compétences: Formation en ressources humaines | chargé | missions | ressources-humaines | recrutement | paie | droit-social Certification: RNCP RNCP40853 Niveau: BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité: À distance Durée: 1085h Prix: 2400 Codes ROME: M1402, M1502 Tags: chargé | missions | ressources-humaines | recrutement | paie | droit-social",ee328636cbb9b4867cd02eff,"Titre: RNCP37717BC02 - Accompagner le client et lui proposer des produits et des services Secteur: Commerce & Vente Compétences: Formation en commerce | accompagner | client | proposer | commerce | vente | négociation Certification: RNCP RNCP37717 Niveau: BAC : BP, BT, bac pro ou techno (NIVEAU 4) Modalité: Présentiel Durée: 840h Prix: 2000 Codes ROME: C1102, D1402, D1403, D1404, D1407 Tags: accompagner | client | proposer | commerce | vente | négociation",hard,heuristic,0.3298,98611a79a308bce7589af65212f07c96a3d27517,RNCP40853,RNCP RNCP40853,,"BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6)",,ISCG,,,,,,
c09f7026bbb9a513,Certification professionnelle Conseiller en Emploi Accompagné (CEA) | Formation en ressources humaines | certification | conseiller | emploi | paie,Certification professionnelle Conseiller en Emploi Accompagné (CEA),"['Formation en ressources humaines', 'certification', 'conseiller', 'emploi', 'paie', 'recrutement', 'ressources-humaines']","['certification', 'conseiller', 'emploi']",,,c2dbf8c26169a6f77e8106e0,"Titre: Chargé(e) de missions RH Secteur: Ressources Humaines Compétences: Formation en ressources humaines | chargé | missions | ressources-humaines | recrutement | paie | droit-social Certification: RNCP RNCP40853 Niveau: BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité: À distance Durée: 1085h Prix: 2400 Codes ROME: M1402, M1502 Tags: chargé | missions | ressources-humaines | recrutement | paie | droit-social",47fd9a3c7ad7c2634a7e6d28,"Titre: Certification professionnelle Conseiller en Emploi Accompagné (CEA) Secteur: Ressources Humaines Compétences: Formation en ressources humaines | certification | conseiller | emploi | ressources-humaines | recrutement | paie Certification: RNCP RNCP37779 Niveau: BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité: Présentiel Prix: 4200 Codes ROME: K1203, K1801 Tags: certification | conseiller | emploi | ressources-humaines | recrutement | paie",territorial,heuristic,0.3504,98611a79a308bce7589af65212f07c96a3d27517,RNCP40853,RNCP RNCP40853,,"BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6)",,ISCG,,,,,,
7da61cf65e6d6434,Réaliser des poses d'extensions de cils | Formation en coiffure | coiffure | esthétique | extensions | poses,Réaliser des poses d'extensions de cils,"['Formation en coiffure', 'coiffure', 'esthétique', 'extensions', 'poses', 'réaliser', 'soins-beauté']","['extensions', 'poses']",,,0533f9d12ab0fce26189dc28,"Titre: Réaliser un maquillage professionnel sophistiqué ou événementiel Secteur: Coiffure, Esthétique & Services Compétences: Formation en coiffure | réaliser | maquillage | professionnel | coiffure | esthétique | soins-beauté Certification: RS RS7007 Modalité: À distance Prix: 1499 Tags: réaliser | maquillage | professionnel | coiffure | esthétique | soins-beauté",dea43df7b951ed53a0a71bd7,Titre: TAXI MOTO (VMDTR) Secteur: Transport & Logistique Compétences: MODULE 1 : CADRE RÉGLEMENTAIRE ET ENVIRONNEMENT PROFESSIONNEL 1.1 Définition et champ d'application du VMDTR Ce module permet d'identifier précisément : Le cadre légal d'exercice | Les missions confiées au professionnel | Les limites d'intervention | taxi | moto | vmdtr | transport | logistique | conduite Certification: RS RS5636 Modalité: Présentiel Durée: 51h Prix: 1400 Tags: taxi | moto | vmdtr | transport | logistique | conduite,easy,heuristic,0.463,2bc47cb4e2351390be4d151ac3c6015149d9edab,RS7007,RS RS7007,,,,ASCOR,,,,,,
84afb19b7e7d225d,Réaliser des poses d'extensions de cils | Formation en coiffure | coiffure | esthétique | extensions | poses,Réaliser des poses d'extensions de cils,"['Formation en coiffure', 'coiffure', 'esthétique', 'extensions', 'poses', 'réaliser', 'soins-beauté']","['extensions', 'poses']",,,0533f9d12ab0fce26189dc28,"Titre: Réaliser un maquillage professionnel sophistiqué ou événementiel Secteur: Coiffure, Esthétique & Services Compétences: Formation en coiffure | réaliser | maquillage | professionnel | coiffure | esthétique | soins-beauté Certification: RS RS7007 Modalité: À distance Prix: 1499 Tags: réaliser | maquillage | professionnel | coiffure | esthétique | soins-beauté",aab1e82e040c3d7628b23a23,Titre: Conduire un projet entrepreneurial en microentreprise Secteur: Management & Gestion Compétences: Etoffer et valider son idée 2 | Identifier ses cibles clientèles 3 | Déterminer ses prix et évaluer les coûts principaux et les marges 5 | conduire | projet | entrepreneurial | management | gestion | organisation Certification: RS RS7005 Modalité: Présentiel Durée: 14h Prix: 1500 Tags: conduire | projet | entrepreneurial | management | gestion | organisation,hard,heuristic,0.4116,2bc47cb4e2351390be4d151ac3c6015149d9edab,RS7007,RS RS7007,,,,ASCOR,,,,,,
345785c76bb4b622,Réaliser des poses d'extensions de cils | Formation en coiffure | coiffure | esthétique | extensions | poses,Réaliser des poses d'extensions de cils,"['Formation en coiffure', 'coiffure', 'esthétique', 'extensions', 'poses', 'réaliser', 'soins-beauté']","['extensions', 'poses']",,,0533f9d12ab0fce26189dc28,"Titre: Réaliser un maquillage professionnel sophistiqué ou événementiel Secteur: Coiffure, Esthétique & Services Compétences: Formation en coiffure | réaliser | maquillage | professionnel | coiffure | esthétique | soins-beauté Certification: RS RS7007 Modalité: À distance Prix: 1499 Tags: réaliser | maquillage | professionnel | coiffure | esthétique | soins-beauté",a0f684022b92f900b97a6b87,"Titre: Réaliser des poses d'extensions de cils Secteur: Coiffure, Esthétique & Services Compétences: Formation en coiffure | réaliser | poses | extensions | coiffure | esthétique | soins-beauté Certification: RS RS7035 Modalité: Présentiel Durée: 21h Prix: 1500 Tags: réaliser | poses | extensions | coiffure | esthétique | soins-beauté",territorial,heuristic,0.4373,2bc47cb4e2351390be4d151ac3c6015149d9edab,RS7007,RS RS7007,,,,ASCOR,,,,,,
ea06584f50cec3dd,Créer et gérer le site internet de sa TPE à l'aide d'un CMS | Gestion de projet | Python | créer | gérer | informatique,Créer et gérer le site internet de sa TPE à l'aide d'un CMS,"['Gestion de projet', 'Python', 'créer', 'gérer', 'informatique', 'numérique', 'programmation', 'site']","['Python', 'gérer']",,,3bd9d59476f82cb17a25c726,Titre: Créer administrer un site WordPress pour plusieurs utilisateurs - Formation individuelle (Tosa) Secteur: Numérique & Informatique Compétences: installer et utiliser wordpress | utiliser le tableau de bord | régler et paramétrer les médias | organiser les catégories | organiser les contenus | créer | administrer | site | informatique | numérique | programmation Certification: RS RS6965 Modalité: À distance Durée: 14h Prix: 1500 Tags: créer | administrer | site | informatique | numérique | programmation,636e188bcf60e2efcd13cb99,"Titre: BPJEPS MOTONAUTISME Secteur: Sport, Animation & Culture Compétences: Apprendre à encadrer des clients sur jet à bras, jet à selle, bouée tractée, flyboard, bateau | BPJEPS | motonautisme | animation | sport | culture | loisirs Certification: RNCP RNCP37935 Niveau: BAC : BP, BT, bac pro ou techno (NIVEAU 4) Modalité: Présentiel Durée: 244h Prix: 3027 Codes ROME: G1204 Tags: BPJEPS | motonautisme | animation | sport | culture | loisirs",easy,heuristic,0.4586,96cf0ad0243bf84f6f3ce2e451969c2b3ebe280b,RS6965,RS RS6965,,,,LESBORDES FABIEN,,,,,,
